squid,tn,fp,tp,fn,accuracy,precision,recall,f1
squid_S1067,0.2,0,6.9,0,1,1,1,1
squid_S2225,0.333333333,0,1.166666667,0,1,1,1,1
squid_S4201,0.4,0,1,0,1,1,1,1
squid_S1215,0.2,0,1.1,0,1,1,1,1
squid_S1155,217.9,0,0,0.3,0.998625115,NaN,0,NaN
squid_S00103,0,0.1,41,0,0.99756691,0.99756691,1,0.998781973
squid_S1197,97.9,0,0,0.5,0.994918699,NaN,0,NaN
squid_S1191,0,0.1,10.9,0,0.990909091,0.990909091,1,0.99543379
squid_S2130,10.5,0,0,0.1,0.990566038,NaN,0,NaN
squid_S1596,8.9,0,0,0.1,0.988888889,NaN,0,NaN
squid_S2156,21,0.1,0,0.2,0.985915493,0,0,NaN
squid_S2293,882.7,0.3,0.2,15.1,0.982856507,0.4,0.013071895,0.025316456
squid_S1611,6.3,0,0,0.1,0.984375,NaN,0,NaN
squid_S2063,4.5,0,0,0.1,0.97826087,NaN,0,NaN
squid_MethodCyclomaticComplexity,0.1,0.6,26.4,0,0.977859779,0.977777778,1,0.988764045
squid_S2864,39.1,0.1,0,0.8,0.9775,0,0,NaN
squid_S00107,0,0.3,11.7,0,0.975,0.975,1,0.987341772
squid_S1075,0,0.1,4.2,0,0.976744186,0.976744186,1,0.988235294
squid_S1125,67.7,0.4,0.1,1.4,0.974137931,0.2,0.066666667,0.1
squid_S1181,0,1.6,53.9,0,0.971171171,0.971171171,1,0.985374771
squid_S1161,9.7,0,0.5,0.3,0.971428571,1,0.625,0.769230769
squid_S2111,6.2,0.1,0.9,0.1,0.97260274,0.9,0.9,0.9
squid_S1695,5.6,0,0.7,0.2,0.969230769,1,0.777777778,0.875
squid_S1066,107.5,0.1,0.2,3.6,0.966786355,0.666666667,0.052631579,0.097560976
squid_HiddenFieldCheck,43.9,0,0.2,1.5,0.967105263,1,0.117647059,0.210526316
squid_S2786,11.6,0.1,0,0.3,0.966666667,0,0,NaN
squid_S1488,43,0.1,0.5,1.7,0.960264901,0.833333333,0.227272727,0.357142857
squid_S2325,34,0.2,1.4,1.3,0.959349593,0.875,0.518518519,0.651162791
squid_S2131,7,0,0,0.3,0.95890411,NaN,0,NaN
squid_S1118,121.9,0.3,0.6,6,0.951086957,0.666666667,0.090909091,0.16
squid_S2057,2,0,0,0.1,0.952380952,NaN,0,NaN
squid_S2885,0,0.1,1.8,0,0.947368421,0.947368421,1,0.972972973
squid_S00101,0,0.1,1.6,0,0.941176471,0.941176471,1,0.96969697
squid_S2185,1.2,0,0,0.1,0.923076923,NaN,0,NaN
squid_S1659,8.8,0.1,0,0.4,0.946236559,0,0,NaN
squid_UselessImportCheck,13.1,0.2,6,0.9,0.945544554,0.967741935,0.869565217,0.916030534
squid_S1157,5,0.1,0,0.2,0.943396226,0,0,NaN
squid_S2221,0,1,17,0.1,0.939226519,0.944444444,0.994152047,0.968660969
squid_S2178,6.4,0,0,0.4,0.941176471,NaN,0,NaN
squid_S1213,221.3,0.9,2,14.2,0.936661074,0.689655172,0.12345679,0.209424084
squid_MissingDeprecatedCheck,12.3,0.2,0.6,0.7,0.934782609,0.75,0.461538462,0.571428571
squid_S1941,14,0,0,1,0.933333333,NaN,0,NaN
squid_S1694,0,0.2,3,0,0.9375,0.9375,1,0.967741935
squid_S2039,120.5,0.8,1.5,8.1,0.932009167,0.652173913,0.15625,0.25210084
squid_S1170,17.1,0.3,0.1,1,0.92972973,0.25,0.090909091,0.133333333
squid_S1319,27.4,0.2,1.3,2,0.928802589,0.866666667,0.393939394,0.541666667
squid_S1604,27.5,0.2,0.3,2,0.926666667,0.6,0.130434783,0.214285714
squid_S2208,15.8,1.3,16,1.4,0.92173913,0.924855491,0.91954023,0.922190202
squid_S1126,4.4,0.1,1.5,0.4,0.921875,0.9375,0.789473684,0.857142857
squid_S1905,17.3,0.2,0,1.3,0.920212766,0,0,NaN
squid_S1199,3.5,0,1,0.4,0.918367347,1,0.714285714,0.833333333
squid_S2153,2.5,0,0,0.2,0.925925926,NaN,0,NaN
squid_S3358,0,0.2,2.3,0,0.92,0.92,1,0.958333333
squid_S00112,0,5.9,62.8,0.1,0.912790698,0.91411936,0.998410175,0.954407295
squid_S1132,33.5,0,0,3.2,0.91280654,NaN,0,NaN
squid_S2333,52.5,0.5,1,4.8,0.909863946,0.666666667,0.172413793,0.273972603
squid_S128,0.3,0.3,2.5,0,0.903225806,0.892857143,1,0.943396226
squid_S2384,0,0.7,7.1,0,0.91025641,0.91025641,1,0.953020134
squid_S135,0.2,0.3,4.8,0.2,0.909090909,0.941176471,0.96,0.95049505
squid_S00117,47.7,0.7,1.6,4.8,0.899635036,0.695652174,0.25,0.367816092
squid_S1163,0,0.3,2.9,0,0.90625,0.90625,1,0.950819672
squid_S2183,1.4,0,0,0.2,0.875,NaN,0,NaN
squid_S2674,0,0.2,1.3,0,0.866666667,0.866666667,1,0.928571429
squid_S1201,1.3,0,0,0.1,0.928571429,NaN,0,NaN
squid_S2629,0,0.2,1,0,0.833333333,0.833333333,1,0.909090909
squid_S1698,0,0.1,0.9,0,0.9,0.9,1,0.947368421
squid_S1149,87.2,0.8,1.1,9.1,0.899185336,0.578947368,0.107843137,0.181818182
squid_S00122,41.5,0.2,2.2,4.7,0.899176955,0.916666667,0.31884058,0.47311828
squid_S00121,0,0.9,8.7,0.1,0.896907216,0.90625,0.988636364,0.945652174
squid_S00108,0.1,2,19.7,0.3,0.895927602,0.907834101,0.985,0.944844125
squid_S1166,0,18.4,159.1,0.3,0.894825647,0.896338028,0.998117942,0.944493915
squid_S3457,0.222222222,0.111111111,0.666666667,0,0.888888889,0.857142857,1,0.923076923
squid_S1214,0.1,0.8,9.5,0.4,0.888888889,0.922330097,0.95959596,0.940594059
squid_S2162,6,0,0.1,0.8,0.884057971,1,0.111111111,0.2
squid_S2065,0.6,0.1,1.4,0.2,0.869565217,0.933333333,0.875,0.903225806
squid_S2974,10.5,0.4,1.8,1.3,0.878571429,0.818181818,0.580645161,0.679245283
squid_S2274,0,0.25,1.75,0,0.875,0.875,1,0.933333333
squid_S2444,0.5,0,0.5,0.125,0.888888889,1,0.8,0.888888889
squid_S1135,0.1,0.5,3.7,0.1,0.863636364,0.880952381,0.973684211,0.925
